city,region,year,weekofyear,month,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,reanalysis_precip_amt_kg_per_m2,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,population_density,hospital_capacity_index,lag1_cases,lag2_cases,lag4_cases,outbreak_zone,total_cases
San_Juan,Puerto_Rico,2016,9,3,0.338917,0.573256,0.583803,0.525105,147.13,299.387,299.1838,294.0456,301.66,296.71,86.7933,9.3446,4.9456,158.35,26.1787,5.9937,29.42,23.42,143.89,0.789,0.83,9,8,14,0,9
Quetta,Balochistan_PK,2003,43,11,0.022129,0.034829,-0.004482,-0.000728,5.83,301.7765,302.4811,297.2938,308.31,296.65,30.0,5.0,11.6669,5.34,29.1561,10.8352,34.68,23.84,0.75,0.168,0.275,1,4,7,0,0
Gampaha,Sri_Lanka,1995,19,5,0.233263,0.200344,0.295229,0.076025,53.17,300.7476,300.2804,293.999,302.17,298.39,64.6336,7.0184,3.7804,58.88,26.9642,3.3385,29.41,26.07,44.88,0.781,0.583,18,18,13,0,15
Islamabad,ICT_PK,2010,15,4,0.052307,0.10491,0.025822,0.012404,2.17,297.6172,297.6833,295.5252,301.48,293.89,85.234,9.0029,7.5852,1.96,24.7094,6.9046,27.66,20.75,0.0,0.722,0.637,3,5,3,0,4
Colombo,Sri_Lanka,1994,32,8,0.6,0.6,0.6,0.6,220.27,298.3039,298.5978,292.8321,301.43,295.77,79.911,8.9978,5.6626,248.5,25.0329,6.1106,28.56,22.45,218.23,0.76,0.578,15,11,16,0,13
Islamabad,ICT_PK,2015,2,1,0.153691,0.080797,0.128007,0.122279,37.98,300.6316,300.7133,297.7629,306.31,295.12,53.9597,6.3774,11.1889,37.6,27.4523,11.7723,33.55,21.78,34.3,0.714,0.637,3,6,2,0,0
Galle,Sri_Lanka,2013,16,4,-0.006056,0.209178,0.11035,0.098411,4.39,298.6995,298.1044,294.3657,299.96,296.25,79.7319,8.9677,3.707,4.46,25.7202,3.1522,26.36,23.21,13.41,0.724,0.602,9,12,9,0,8
Islamabad,ICT_PK,2014,2,1,-0.10387,0.121523,-0.008503,0.053155,1.03,301.215,301.4193,294.0707,305.75,297.09,78.6579,8.8876,8.6542,0.93,27.3216,9.5897,32.76,23.17,0.0,0.662,0.657,4,8,3,0,5
Lahore,Punjab_PK,2013,52,12,0.00708,0.101628,0.118723,0.164155,15.2,301.749,301.5293,296.1641,305.48,297.58,65.0323,6.9657,7.8929,14.89,28.7193,7.305,32.08,24.77,7.54,0.931,0.565,18,15,19,0,18
Peshawar,KPK_PK,2005,20,5,0.108072,0.06921,0.10868,0.086129,6.03,304.8967,304.6346,299.6017,310.95,298.32,34.0596,5.0,12.6305,5.2,31.3377,11.8311,37.25,25.42,5.92,0.668,0.405,5,5,9,0,5
Jaffna,Sri_Lanka,2016,29,8,0.127037,0.092248,0.050634,0.090392,3.44,301.4583,301.6521,298.9987,305.64,297.66,64.693,6.5725,7.9849,3.62,29.1982,8.2257,32.68,24.46,1.9,0.755,0.602,2,0,0,0,4
Kandy,Sri_Lanka,2003,3,1,0.238499,0.145271,0.104792,0.264382,27.77,295.8513,296.2395,289.9665,300.12,292.36,76.1733,8.723,7.7585,28.17,23.4014,8.2324,27.63,19.39,25.82,0.746,0.6,5,2,8,0,2
Iquitos,Peru,2011,19,5,0.300324,0.342553,0.25078,0.410098,90.45,299.002,299.1253,294.831,300.25,298.01,75.0773,7.9128,2.2402,90.15,25.1984,2.0,26.58,25.44,94.0,0.371,0.437,0,0,6,0,3
Islamabad,ICT_PK,2006,22,6,0.117523,0.184413,0.248072,0.003038,23.24,295.796,295.8235,290.3704,299.97,291.68,57.835,6.8307,8.2948,23.08,23.2857,8.2499,26.3,18.05,22.84,0.687,0.676,4,8,8,0,2
Jaffna,Sri_Lanka,2021,50,12,0.104801,0.049368,0.118826,0.086892,5.19,300.9063,300.9089,297.197,303.12,298.7,58.6711,6.3763,4.4179,5.8,27.2721,4.2486,29.89,25.64,0.0,0.805,0.596,3,6,1,0,0
Quetta,Balochistan_PK,1998,48,12,-0.004078,-0.008083,-0.002662,0.068928,1.59,296.9936,297.209,292.6588,302.27,292.15,46.3102,5.1005,10.1241,1.42,24.4637,9.5737,29.03,19.45,0.0,0.197,0.257,0,0,0,0,0
Muzaffarabad,AJK_PK,1991,22,6,0.152777,0.181531,0.138639,0.25342,42.56,294.9564,294.793,290.8243,296.36,293.23,59.5402,6.5921,3.1358,38.89,21.6916,3.7853,23.2,19.41,56.1,0.375,0.346,0,4,2,0,0
Ampara,Sri_Lanka,2000,47,12,0.035474,0.104333,0.155577,0.168639,4.09,299.065,299.1878,292.8975,301.4,296.98,58.6877,5.8682,4.4207,4.05,26.4482,5.5519,28.97,23.42,12.21,0.767,0.603,4,4,8,0,2
San_Juan,Puerto_Rico,1998,29,8,0.406466,0.446169,0.347126,0.533864,124.78,299.4535,298.9098,292.9806,300.1,297.72,96.0426,10.3406,2.375,139.49,25.2004,2.6034,27.06,24.45,126.36,0.825,0.79,23,27,24,0,21
Lahore,Punjab_PK,1991,20,5,0.026703,0.026647,0.0551,0.010934,3.3,295.9404,296.0933,290.7166,300.89,291.3,63.435,6.7808,9.586,3.34,22.7267,8.7933,27.49,18.69,0.0,0.855,0.559,9,8,8,0,9
Colombo,Sri_Lanka,1999,10,3,0.061424,0.086743,0.247838,0.166021,37.72,297.7213,297.6967,293.7756,299.26,296.13,84.1857,9.4065,3.1272,41.48,24.3411,3.4506,26.86,23.41,33.95,0.74,0.563,5,5,0,0,7
Peshawar,KPK_PK,1996,52,12,0.081394,0.071522,0.068043,0.128683,1.36,298.4433,298.2539,294.8267,302.43,294.08,71.3183,7.58,8.3452,1.42,25.7232,9.5661,30.48,20.91,4.6,0.661,0.386,2,2,8,0,0
Colombo,Sri_Lanka,1990,39,10,0.032513,0.17367,0.164375,0.154679,33.56,298.9879,298.9777,296.205,301.98,295.97,85.8015,9.7026,6.0117,31.11,25.3033,7.0409,29.34,22.3,23.5,0.755,0.594,3,0,0,0,5
Peshawar,KPK_PK,2011,44,11,0.040332,0.063673,0.083254,-0.002885,0.17,304.3381,304.4692,298.6046,309.33,299.61,46.133,5.0,9.7282,0.2,30.4535,10.7502,36.95,26.2,3.03,0.626,0.4,2,6,6,0,2
San_Juan,Puerto_Rico,2013,14,4,0.290101,0.275299,0.336744,0.184365,93.41,300.2104,300.4915,294.3653,303.18,297.81,89.5712,9.8768,5.3722,97.94,26.8806,5.4112,29.6,24.19,96.2,0.839,0.779,105,102,98,1,104
Kandy,Sri_Lanka,2001,2,1,0.247692,0.19975,0.093944,0.285712,11.73,295.547,296.1635,292.3249,299.17,293.15,77.6308,8.37,6.0171,12.76,22.7837,5.5297,26.17,20.64,6.26,0.732,0.591,5,9,3,0,2
Lahore,Punjab_PK,2024,43,11,0.131447,0.22135,0.294466,0.150982,39.61,299.2474,299.4061,294.7643,302.84,295.97,80.2683,8.6388,6.8711,42.53,26.0299,7.4578,29.81,22.35,40.6,0.918,0.546,21,23,21,0,19
Colombo,Sri_Lanka,2010,50,12,0.127495,0.14824,0.047951,0.007316,13.08,299.0969,299.1205,295.4469,301.59,296.65,74.4357,7.7116,4.9376,13.18,26.1702,3.6491,28.11,24.46,11.98,0.722,0.604,30,32,30,0,28
Gampaha,Sri_Lanka,1999,11,3,0.401155,0.352776,0.249419,0.391139,103.89,298.88,299.1973,296.4212,301.27,297.12,78.2658,8.5705,4.1525,113.87,26.3225,4.4418,28.4,23.96,107.19,0.741,0.588,36,35,39,0,39
Muzaffarabad,AJK_PK,2018,8,2,-0.001777,0.029571,0.248158,0.077706,1.85,294.9871,295.0929,290.3201,296.72,293.47,85.967,9.5907,3.2514,1.87,21.4079,2.414,22.71,20.3,4.49,0.418,0.356,2,0,0,0,1
Islamabad,ICT_PK,2011,46,12,0.114997,0.011623,0.07572,0.065825,3.35,290.5844,290.6008,287.3475,293.88,287.33,62.4497,6.7846,6.5506,3.17,17.1755,5.9856,22.0,14.16,2.78,0.721,0.64,0,4,0,0,1
Jaffna,Sri_Lanka,2007,30,8,0.057357,0.095633,0.193194,0.092144,2.87,301.266,301.3367,296.7561,304.86,297.81,71.4515,7.7299,7.0513,2.45,28.2403,7.7476,31.87,24.12,0.0,0.802,0.6,1,0,0,0,4
Karachi,Sindh_PK,2024,28,7,0.02115,0.167033,0.042307,0.047769,1.63,305.3156,305.2503,299.944,310.58,299.92,66.8815,6.9578,10.6563,1.42,30.5182,9.5716,36.52,26.95,0.0,0.867,0.514,6,10,7,0,3
Galle,Sri_Lanka,2023,20,5,0.1495,-0.063098,0.151937,0.127465,19.92,299.1926,299.2087,295.0911,300.12,298.29,82.138,9.7818,1.8294,17.29,26.3537,2.0,26.36,24.64,18.45,0.759,0.569,4,6,11,0,7
Gampaha,Sri_Lanka,2007,41,11,0.066261,0.185577,0.197582,0.252649,55.13,298.7621,298.9474,292.6938,301.4,296.5,96.3831,10.7478,4.903,57.8,25.0635,3.8878,27.53,23.65,63.31,0.757,0.57,11,9,10,0,8
Colombo,Sri_Lanka,2008,33,9,0.128951,0.028889,0.068223,0.094876,24.19,302.1536,301.9455,298.1199,303.44,300.45,89.9896,9.5309,2.987,21.71,29.1944,2.2668,29.94,27.68,18.22,0.835,0.588,11,9,7,0,9
Islamabad,ICT_PK,2001,22,6,0.092458,0.105681,-0.051966,0.080401,8.1,294.7447,294.869,290.9353,296.69,293.05,45.6239,5.0812,3.6448,8.72,21.8354,3.3066,23.09,19.79,6.98,0.716,0.642,2,4,1,0,3
Jaffna,Sri_Lanka,2015,18,5,0.235013,0.176889,0.22796,0.198031,28.31,303.3126,303.2241,301.2449,305.59,300.86,83.6852,9.1207,4.723,29.82,29.3382,4.1653,31.89,27.73,19.72,0.723,0.611,60,57,58,1,57
Iquitos,Peru,2009,37,10,0.069573,0.25142,0.067422,0.083531,39.21,298.8228,298.6641,292.8685,299.25,298.08,81.0078,9.1993,1.1782,35.42,25.7718,2.0,25.15,25.32,44.63,0.348,0.479,3,6,9,0,4
Quetta,Balochistan_PK,2013,41,11,0.009309,0.039823,0.073963,-0.006821,0.86,296.2942,296.1359,291.7765,300.14,292.13,63.0011,6.6206,8.0173,0.74,23.2049,8.2112,27.24,19.03,2.24,0.191,0.257,0,4,4,0,0
Muzaffarabad,AJK_PK,2005,47,12,0.104127,0.328116,0.280864,0.386824,46.33,301.4645,300.7427,298.9189,304.36,297.12,70.3433,6.8406,7.2383,39.45,26.9721,7.1421,31.24,24.1,47.15,0.383,0.358,3,2,0,0,0
Karachi,Sindh_PK,1998,1,1,0.096458,0.08367,0.01614,0.093529,16.39,299.5122,299.2079,295.2448,302.96,295.46,63.3742,6.4459,7.4963,18.21,25.4187,7.2061,29.28,22.07,17.01,0.872,0.488,3,2,0,0,0
Gampaha,Sri_Lanka,1997,12,3,-0.017003,0.146563,0.16737,0.118867,17.22,300.0334,299.8638,292.8351,301.62,298.11,79.032,8.4718,3.5047,17.33,26.3837,4.4503,28.99,24.54,22.77,0.73,0.6,10,11,17,0,7
Ampara,Sri_Lanka,2009,12,3,0.261207,0.332184,0.282401,0.301681,85.07,300.4418,300.5438,295.9577,302.21,298.88,74.0967,7.9842,3.3337,85.9,27.5428,2.1516,28.65,26.5,90.53,0.766,0.626,5,2,4,0,5
Islamabad,ICT_PK,2021,32,8,0.214237,0.32206,0.35662,0.382361,97.28,295.7507,296.1094,292.827,298.19,294.02,58.7331,6.2749,4.1697,90.58,22.5432,2.7751,24.77,21.99,96.26,0.71,0.681,2,6,1,0,3
Islamabad,ICT_PK,2017,1,1,0.180491,0.163155,0.085149,0.211927,27.24,291.7074,291.7566,289.8066,293.74,289.77,84.4362,9.3089,3.9645,24.57,18.9694,3.3634,22.0,17.23,16.41,0.724,0.657,0,0,2,0,1
Quetta,Balochistan_PK,2022,30,8,0.045465,0.023365,0.025217,-0.020316,9.8,300.2043,300.3936,298.3065,302.16,298.62,30.0,5.0,3.5417,10.48,27.4931,3.5141,28.85,25.34,16.34,0.189,0.258,2,0,6,0,0
San_Juan,Puerto_Rico,2010,37,10,-0.005192,0.107582,0.136744,0.062986,19.89,301.3068,301.026,294.8249,302.12,299.93,86.8798,9.6714,2.1954,22.77,26.9694,2.8857,29.04,26.16,13.34,0.841,0.853,8,10,12,0,7
Karachi,Sindh_PK,2023,36,9,0.070972,0.120608,0.047069,0.129304,15.39,299.0479,299.1348,294.8042,302.44,295.83,71.4314,7.2245,6.603,15.41,26.2908,6.8832,29.65,22.77,15.66,0.864,0.522,0,0,0,0,1
San_Juan,Puerto_Rico,2010,40,10,0.019696,0.223196,0.084152,0.203386,33.84,300.9432,301.1888,295.5124,302.49,299.89,76.1616,7.8887,2.5995,38.25,27.4338,2.0,28.75,27.7,35.21,0.827,0.795,6,5,5,0,3
Kandy,Sri_Lanka,1997,27,7,0.597153,0.6,0.539393,0.595888,145.95,296.8834,296.8732,294.0733,300.34,293.41,77.8107,8.0311,6.9337,146.8,22.7434,6.7246,27.49,20.77,147.8,0.75,0.582,3,1,6,0,6
Colombo,Sri_Lanka,2012,9,3,0.111773,0.128083,0.026405,0.064945,31.93,300.4903,300.3999,295.4266,302.66,298.14,77.7118,8.6463,4.5235,32.85,27.2706,4.0554,29.22,25.16,34.18,0.734,0.61,0,2,1,0,2
Kandy,Sri_Lanka,2012,32,8,0.301038,0.181902,0.252614,0.007438,4.39,296.8183,297.0234,292.0906,301.76,292.28,69.0718,7.4078,9.4832,4.38,22.7846,7.8292,27.9,20.07,3.83,0.777,0.583,0,2,0,0,0
San_Juan,Puerto_Rico,1993,49,12,0.372418,0.288454,0.344321,0.563819,112.47,299.153,299.0338,297.1894,300.52,297.54,78.3655,8.6005,2.9822,124.85,25.9302,2.8635,27.74,24.88,113.55,0.792,0.793,0,4,1,0,2
Kandy,Sri_Lanka,2007,33,9,-0.010883,0.092547,-0.011888,0.166151,5.01,298.3585,298.1449,294.7089,300.88,295.41,80.0248,8.9187,5.4753,5.7,24.6891,4.5841,26.88,22.3,0.59,0.768,0.624,7,7,12,0,6
Jaffna,Sri_Lanka,2003,43,11,0.145033,0.161655,0.115589,0.175135,41.01,300.5571,300.226,294.3396,303.71,296.74,66.3408,7.3396,6.9688,37.64,26.6476,5.871,29.99,24.12,44.25,0.773,0.596,2,0,6,0,2
Quetta,Balochistan_PK,2007,24,6,0.166014,0.164828,0.136033,0.105147,44.08,298.3873,298.3894,293.9805,304.07,292.71,30.0,5.0,11.3542,46.42,25.2243,11.6009,31.26,19.66,51.85,0.227,0.272,0,0,0,0,1
San_Juan,Puerto_Rico,2002,10,3,0.143182,0.109378,0.124687,0.029739,33.4,296.6451,297.0621,291.7426,299.34,294.79,78.3683,9.1761,4.552,36.12,23.0963,5.8645,26.68,20.82,32.2,0.814,0.815,10,11,15,0,11
San_Juan,Puerto_Rico,2002,43,11,0.006845,0.157507,-0.012553,-0.015059,0.95,297.8465,298.0581,294.0696,299.91,296.21,93.1729,9.9098,3.6973,0.99,24.4932,4.7551,27.97,23.22,7.9,0.855,0.768,1,3,8,0,2
Galle,Sri_Lanka,2003,26,7,0.133428,0.173642,0.116923,-0.031003,22.79,302.1096,302.4826,297.2766,305.2,299.77,75.9969,8.0621,5.4327,26.02,29.8652,4.6699,31.36,26.69,25.9,0.821,0.623,116,114,120,1,119
Kandy,Sri_Lanka,2020,48,12,0.125343,0.323978,0.014175,0.167695,15.01,299.8908,299.9813,294.05,301.53,298.43,77.2801,8.0857,3.0962,16.0,27.0343,3.7173,28.72,25.0,17.31,0.748,0.624,0,0,2,0,3
Islamabad,ICT_PK,2019,43,11,0.213274,0.130202,0.118627,0.158852,15.77,298.3928,298.3761,293.5153,300.8,295.95,54.6925,5.4885,4.8553,16.57,25.7684,4.8463,27.38,22.53,20.56,0.712,0.671,1,0,0,0,2
Karachi,Sindh_PK,2023,13,4,0.090006,0.129251,0.08187,0.052773,22.8,304.915,304.8609,299.4723,308.02,301.7,65.9024,7.6034,6.3277,25.46,32.0701,6.4458,35.03,28.59,19.76,0.842,0.525,1,0,0,0,3
Iquitos,Peru,1994,40,10,0.148766,0.315377,0.18157,0.341321,76.8,298.2989,298.3119,293.3682,299.76,296.86,73.1582,8.435,2.9028,87.31,25.5029,4.1933,26.94,22.75,75.66,0.313,0.461,9,9,7,0,12
Colombo,Sri_Lanka,2007,31,8,0.314589,0.382898,0.261003,0.401459,78.48,299.4775,299.8618,292.9458,300.87,298.85,80.7508,8.7703,2.0146,83.66,27.2346,2.0,27.9,26.31,72.69,0.774,0.613,125,126,122,1,123
San_Juan,Puerto_Rico,2023,49,12,0.050465,0.0758,0.047351,-0.038691,11.52,296.0767,295.5946,291.1433,297.04,294.15,82.2711,8.5761,2.8931,13.06,22.9357,3.1376,23.62,20.48,16.07,0.784,0.786,20,22,24,0,20
Ampara,Sri_Lanka,1990,16,4,0.083411,0.011851,0.05572,0.126707,0.3,298.6614,298.8816,293.3192,301.73,296.04,77.8656,8.8419,5.6893,0.3,25.8135,6.2969,29.11,22.81,0.24,0.748,0.574,5,3,6,0,4
Jaffna,Sri_Lanka,2016,44,11,0.203781,0.123995,0.185744,0.141652,40.63,301.1204,301.1144,297.5371,302.37,299.86,66.1412,7.2801,2.5139,37.7,28.5348,2.1864,28.35,26.16,39.44,0.752,0.548,0,0,4,0,0
Peshawar,KPK_PK,2022,18,5,0.036721,0.163751,0.094098,0.143356,25.84,296.0046,295.7818,292.797,299.31,292.25,62.7465,6.3648,7.0541,24.29,23.4699,7.2149,26.26,19.04,24.02,0.639,0.387,2,1,3,0,3
Lahore,Punjab_PK,1992,44,11,0.07964,0.075137,0.09832,0.234133,35.91,302.4722,302.6924,295.8467,304.82,300.57,68.2246,7.3521,4.2534,35.08,29.2028,4.6851,32.2,27.51,32.33,0.875,0.562,5,8,11,0,3
Lahore,Punjab_PK,1990,44,11,0.065842,0.107103,0.260059,0.162939,41.48,304.0944,303.9945,299.8306,308.09,299.9,70.7194,7.6663,8.191,42.89,31.8237,9.1889,35.44,26.25,29.67,0.87,0.542,3,2,1,0,3
Lahore,Punjab_PK,2018,46,12,0.126035,0.20497,0.053989,0.222249,23.27,289.8592,289.8815,283.0,294.29,285.48,67.3267,7.4701,8.8123,25.9,16.4594,7.5733,22.0,12.94,27.38,0.891,0.56,1,2,6,0,0
Colombo,Sri_Lanka,2013,15,4,0.491913,0.303428,0.372938,0.328752,108.82,299.3446,299.1299,294.3277,301.09,297.17,86.5435,9.097,3.9128,103.14,25.7546,4.2372,27.6,23.36,112.97,0.793,0.625,67,69,71,1,65
Galle,Sri_Lanka,2004,44,11,0.054508,0.33554,0.336686,0.214519,67.03,298.8765,299.1939,293.7222,302.28,296.11,89.1946,9.7569,6.1715,63.06,25.9198,5.6431,28.93,23.29,72.95,0.764,0.59,0,0,6,0,3
Colombo,Sri_Lanka,1999,7,2,0.113908,-0.018658,-0.018388,0.085963,27.84,298.9596,298.9357,295.678,300.14,297.73,82.0322,9.1262,2.4167,25.43,26.0627,2.6257,27.74,25.12,22.72,0.745,0.62,2,5,3,0,1
Quetta,Balochistan_PK,2001,44,11,0.041371,0.011386,0.094147,0.003263,3.4,296.029,295.5198,290.6813,300.04,291.0,39.1524,5.0,9.0391,3.72,22.6799,8.6673,26.2,17.53,2.85,0.192,0.265,0,0,0,0,0
Colombo,Sri_Lanka,1990,27,7,0.572064,0.585252,0.562093,0.38721,159.09,299.1757,299.7465,292.8719,301.34,298.15,91.7963,9.8283,3.1849,169.05,26.736,3.7643,28.38,24.62,155.96,0.775,0.609,8,12,16,0,11
Muzaffarabad,AJK_PK,2013,14,4,0.337212,0.273515,0.348508,0.410719,71.09,297.0298,296.6949,294.1361,299.54,293.85,67.8805,7.0369,5.6881,69.12,24.1129,5.5204,26.22,20.69,78.67,0.376,0.32,3,5,7,0,2
Colombo,Sri_Lanka,2023,52,12,0.097679,0.227859,0.272228,0.183019,42.12,301.5115,301.5758,296.6608,303.28,299.87,86.007,9.3274,3.4171,41.76,28.6099,3.3831,29.82,26.44,41.88,0.758,0.604,4,1,0,0,5
